time,seaice_extent
2023-01-01,511126.856559928
2023-01-02,511126.856559928
2023-01-03,511126.856559928
2023-01-04,511126.856559928
2023-01-05,511126.856559928
2023-01-06,511126.856559928
2023-01-07,511126.856559928
2023-01-08,511126.856559928
2023-01-09,511126.856559928
2023-01-10,511126.856559928
2023-01-11,511126.856559928
2023-01-12,511126.856559928
2023-01-13,511126.856559928
2023-01-14,511126.856559928
2023-01-15,511126.856559928
2023-01-16,511126.856559928
2023-01-17,511126.856559928
2023-01-18,511126.856559928
2023-01-19,511126.856559928
2023-01-20,511126.856559928
2023-01-21,511126.856559928
2023-01-22,511126.856559928
2023-01-23,511126.856559928
2023-01-24,511126.856559928
2023-01-25,511126.856559928
2023-01-26,511126.856559928
2023-01-27,511126.856559928
2023-01-28,511126.856559928
2023-01-29,511126.856559928
2023-01-30,511126.856559928
2023-01-31,511126.856559928
2023-02-01,511126.856559928
2023-02-02,511126.856559928
2023-02-03,511126.856559928
2023-02-04,511126.856559928
2023-02-05,511126.856559928
2023-02-06,511126.856559928
2023-02-07,511126.856559928
2023-02-08,511126.856559928
2023-02-09,511126.856559928
2023-02-10,511126.856559928
2023-02-11,511126.856559928
2023-02-12,511126.856559928
2023-02-13,511126.856559928
2023-02-14,511126.856559928
2023-02-15,511126.856559928
2023-02-16,511126.856559928
2023-02-17,511126.856559928
2023-02-18,511126.856559928
2023-02-19,511126.856559928
2023-02-20,511126.856559928
2023-02-21,511126.856559928
2023-02-22,511126.856559928
2023-02-23,511126.856559928
2023-02-24,511126.856559928
2023-02-25,511126.856559928
2023-02-26,511126.856559928
2023-02-27,511126.856559928
2023-02-28,511126.856559928
2023-03-01,511126.856559928
2023-03-02,511126.856559928
2023-03-03,511126.856559928
2023-03-04,511126.856559928
2023-03-05,511126.856559928
2023-03-06,511126.856559928
2023-03-07,511126.856559928
2023-03-08,511126.856559928
2023-03-09,511126.856559928
2023-03-10,511126.856559928
2023-03-11,511126.856559928
2023-03-12,511126.856559928
2023-03-13,511126.856559928
2023-03-14,511126.856559928
2023-03-15,511126.856559928
2023-03-16,511126.856559928
2023-03-17,511126.856559928
2023-03-18,511126.856559928
2023-03-19,511126.856559928
2023-03-20,511126.856559928
2023-03-21,511126.856559928
2023-03-22,511126.856559928
2023-03-23,511126.856559928
2023-03-24,511126.856559928
2023-03-25,511126.856559928
2023-03-26,511126.856559928
2023-03-27,511126.856559928
2023-03-28,511126.856559928
2023-03-29,511126.856559928
2023-03-30,511126.856559928
2023-03-31,511126.856559928
2023-04-01,511126.856559928
2023-04-02,511126.856559928
2023-04-03,511126.856559928
2023-04-04,511126.856559928
2023-04-05,511126.856559928
2023-04-06,511126.856559928
2023-04-07,511126.856559928
2023-04-08,511126.856559928
2023-04-09,511126.856559928
2023-04-10,511126.856559928
2023-04-11,511126.856559928
2023-04-12,511126.856559928
2023-04-13,511126.856559928
2023-04-14,511126.856559928
2023-04-15,511126.856559928
2023-04-16,511126.856559928
2023-04-17,511126.856559928
2023-04-18,511126.856559928
2023-04-19,511126.856559928
2023-04-20,511126.856559928
2023-04-21,511126.856559928
2023-04-22,511126.856559928
2023-04-23,511126.856559928
2023-04-24,511126.856559928
2023-04-25,511126.856559928
2023-04-26,511126.856559928
2023-04-27,511126.856559928
2023-04-28,511126.856559928
2023-04-29,511126.856559928
2023-04-30,511126.856559928
2023-05-01,511126.856559928
2023-05-02,511126.856559928
2023-05-03,511126.856559928
2023-05-04,511126.856559928
2023-05-05,511126.856559928
2023-05-06,511126.856559928
2023-05-07,511126.856559928
2023-05-08,511126.856559928
2023-05-09,511126.856559928
2023-05-10,511126.856559928
2023-05-11,511126.856559928
2023-05-12,511126.856559928
2023-05-13,511126.856559928
2023-05-14,511126.856559928
2023-05-15,511126.856559928
2023-05-16,511126.856559928
2023-05-17,511126.856559928
2023-05-18,511126.856559928
2023-05-19,511126.856559928
2023-05-20,511126.856559928
2023-05-21,511126.856559928
2023-05-22,511126.856559928
2023-05-23,511126.856559928
2023-05-24,511126.856559928
2023-05-25,510514.2729038108
2023-05-26,503184.18632181716
2023-05-27,502564.9001567398
2023-05-28,500728.02986056026
2023-05-29,501341.48775984056
2023-05-30,500139.5743643962
2023-05-31,502578.69973463635
2023-06-01,501967.22266888485
2023-06-02,504407.4494169747
2023-06-03,504400.7593619185
2023-06-04,497700.4852194393
2023-06-05,493416.25558228674
2023-06-06,490965.1649092614
2023-06-07,487895.39246395323
2023-06-08,486672.89506218425
2023-06-09,481764.98999447486
2023-06-10,473712.031728831
2023-06-11,474884.60155706556
2023-06-12,471776.2846155785
2023-06-13,468054.790668297
2023-06-14,461270.46060203563
2023-06-15,445179.76230365975
2023-06-16,447661.5685042221
2023-06-17,446385.45887223
2023-06-18,442068.94348993746
2023-06-19,429021.1844826337
2023-06-20,425898.2417919974
2023-06-21,424070.8145316079
2023-06-22,423480.45207373105
2023-06-23,417980.17704765615
2023-06-24,407390.55291474564
2023-06-25,401745.51198284613
2023-06-26,403546.7101915048
2023-06-27,404729.60388042254
2023-06-28,405356.81355342706
2023-06-29,392320.28838955873
2023-06-30,393455.08326652175
2023-07-01,392158.8685123467
2023-07-02,395324.24109223596
2023-07-03,382286.6897515515
2023-07-04,367763.8315097092
2023-07-05,376400.8752278359
2023-07-06,373327.93092284846
2023-07-07,364632.04256749427
2023-07-08,361434.8623593475
2023-07-09,357601.49908065685
2023-07-10,340733.2936559614
2023-07-11,337532.761371002
2023-07-12,333051.4389003695
2023-07-13,333831.9961379485
2023-07-14,332581.55207857
2023-07-15,322466.1743819938
2023-07-16,336791.3035578294
2023-07-17,326700.22998801956
2023-07-18,307139.64663069946
2023-07-19,301100.17179431097
2023-07-20,241795.3408611701
2023-07-21,151185.49432177978
2023-07-22,121324.36029297863
2023-07-23,110507.22014099536
2023-07-24,85028.50279591093
2023-07-25,75432.9095563606
2023-07-26,74791.80425534351
2023-07-27,59555.391188914946
2023-07-28,39775.09947428639
2023-07-29,37902.405199383655
2023-07-30,44019.22737588348
2023-07-31,32846.05641259041
2023-08-01,29670.904719760452
2023-08-02,70887.05794073996
2023-08-03,88643.8170837575
2023-08-04,39173.891981324006
2023-08-05,25818.995222104742
2023-08-06,11851.31074766548
2023-08-07,8029.624796128361
2023-08-08,8029.624796128361
2023-08-09,14395.897024018932
2023-08-10,32164.12558304014
2023-08-11,18209.871370192683
2023-08-12,34708.133341496854
2023-08-13,28991.239160798395
2023-08-14,18813.02190897793
2023-08-15,14375.412516040382
2023-08-16,9294.968583726624
2023-08-17,8029.624796128361
2023-08-18,8029.624796128361
2023-08-19,8661.905830922724
2023-08-20,8665.950119038269
2023-08-21,8661.905830922724
2023-08-22,8029.624796128361
2023-08-23,8029.624796128361
2023-08-24,8029.624796128361
2023-08-25,8029.624796128361
2023-08-26,8029.624796128361
2023-08-27,8029.624796128361
2023-08-28,8029.624796128361
2023-08-29,8029.624796128361
2023-08-30,8029.624796128361
2023-08-31,8029.624796128361
2023-09-01,8029.624796128361
2023-09-02,8029.624796128361
2023-09-03,8029.624796128361
2023-09-04,8029.624796128361
2023-09-05,8029.624796128361
2023-09-06,8029.624796128361
2023-09-07,8029.624796128361
2023-09-08,8029.624796128361
2023-09-09,8029.624796128361
2023-09-10,8029.624796128361
2023-09-11,8029.624796128361
2023-09-12,8029.624796128361
2023-09-13,8029.624796128361
2023-09-14,8029.624796128361
2023-09-15,8029.624796128361
2023-09-16,8029.624796128361
2023-09-17,8029.624796128361
2023-09-18,8029.624796128361
2023-09-19,8029.624796128361
2023-09-20,8029.624796128361
2023-09-21,8029.624796128361
2023-09-22,8029.624796128361
2023-09-23,8029.624796128361
2023-09-24,8029.624796128361
2023-09-25,8029.624796128361
2023-09-26,8029.624796128361
2023-09-27,8029.624796128361
2023-09-28,8029.624796128361
2023-09-29,8029.624796128361
2023-09-30,8029.624796128361
2023-10-01,17190.1149648211
2023-10-02,13519.52803307711
2023-10-03,12908.022386079952
2023-10-04,11076.615846652672
2023-10-05,12908.022386079952
2023-10-06,11689.371482031169
2023-10-07,12298.303997931765
2023-10-08,12911.901455588948
2023-10-09,14166.309819883167
2023-10-10,20416.23952492202
2023-10-11,13543.469197239241
2023-10-12,13543.469197239241
2023-10-13,15451.75909482928
2023-10-14,14842.040706681095
2023-10-15,16064.514730207778
2023-10-16,17927.377510366186
2023-10-17,19854.77852239232
2023-10-18,17969.837598778722
2023-10-19,22412.282888104706
2023-10-20,34382.08134162583
2023-10-21,40705.28262968764
2023-10-22,47586.77412807324
2023-10-23,38458.84528062308
2023-10-24,36188.22396614707
2023-10-25,24320.169548150894
2023-10-26,25515.25287797777
2023-10-27,23188.17224503678
2023-10-28,32767.39511852078
2023-10-29,49990.08947967309
2023-10-30,84277.59097550249
2023-10-31,159877.5497570038
2023-11-01,168790.23274191844
2023-11-02,192229.22864744175
2023-11-03,214367.18152477808
2023-11-04,229498.73923372876
2023-11-05,264769.21793996025
2023-11-06,262900.24154169305
2023-11-07,273625.82452383265
2023-11-08,309570.00258280075
2023-11-09,354121.68978108314
2023-11-10,373741.7216970293
2023-11-11,354337.07081561163
2023-11-12,360465.7007035465
2023-11-13,351519.28463799926
2023-11-14,336479.8421828855
2023-11-15,364897.520129773
2023-11-16,388768.2259091172
2023-11-17,398948.127885222
2023-11-18,401431.6201409229
2023-11-19,400170.9698238374
2023-11-20,405168.3105841482
2023-11-21,388158.5653629503
2023-11-22,389930.5897688353
2023-11-23,386206.4031955635
2023-11-24,396765.8220147805
2023-11-25,399893.30137089593
2023-11-26,402380.94626183575
2023-11-27,404276.21940053964
2023-11-28,401824.2653878136
2023-11-29,404359.7680072727
2023-11-30,410648.3825424543
2023-12-01,421195.444870055
2023-12-02,431851.50149709004
2023-12-03,434949.83433070435
2023-12-04,444292.80504878797
2023-12-05,447462.7039083523
2023-12-06,444355.26790046727
2023-12-07,451710.25270647084
2023-12-08,460366.8365294095
2023-12-09,473356.3064826387
2023-12-10,491418.6888606472
2023-12-11,505613.474897462
2023-12-12,509902.7868752425
2023-12-13,511126.856559928
2023-12-14,511126.856559928
2023-12-15,511126.856559928
2023-12-16,511126.856559928
2023-12-17,511126.856559928
2023-12-18,511126.856559928
2023-12-19,511126.856559928
2023-12-20,511126.856559928
2023-12-21,511126.856559928
2023-12-22,511126.856559928
2023-12-23,511126.856559928
2023-12-24,511126.856559928
2023-12-25,511126.856559928
2023-12-26,511126.856559928
2023-12-27,511126.856559928
2023-12-28,511126.856559928
2023-12-29,511126.856559928
2023-12-30,511126.856559928
2023-12-31,511126.856559928
2024-01-01,511126.856559928
2024-01-02,511126.856559928
2024-01-03,511126.856559928
2024-01-04,511126.856559928
2024-01-05,511126.856559928
2024-01-06,511126.856559928
2024-01-07,511126.856559928
2024-01-08,511126.856559928
2024-01-09,511126.856559928
2024-01-10,511126.856559928
2024-01-11,511126.856559928
2024-01-12,511126.856559928
2024-01-13,511126.856559928
2024-01-14,511126.856559928
2024-01-15,511126.856559928
2024-01-16,511126.856559928
2024-01-17,511126.856559928
2024-01-18,511126.856559928
2024-01-19,511126.856559928
2024-01-20,511126.856559928
2024-01-21,511126.856559928
2024-01-22,511126.856559928
2024-01-23,511126.856559928
2024-01-24,511126.856559928
2024-01-25,511126.856559928
2024-01-26,511126.856559928
2024-01-27,511126.856559928
2024-01-28,511126.856559928
2024-01-29,511126.856559928
2024-01-30,511126.856559928
2024-01-31,511126.856559928
2024-02-01,511126.856559928
2024-02-02,511126.856559928
2024-02-03,511126.856559928
2024-02-04,511126.856559928
2024-02-05,511126.856559928
2024-02-06,511126.856559928
2024-02-07,511126.856559928
2024-02-08,511126.856559928
2024-02-09,511126.856559928
2024-02-10,511126.856559928
2024-02-11,511126.856559928
2024-02-12,511126.856559928
2024-02-13,511126.856559928
2024-02-14,511126.856559928
2024-02-15,511126.856559928
2024-02-16,511126.856559928
2024-02-17,511126.856559928
2024-02-18,511126.856559928
2024-02-19,511126.856559928
2024-02-20,511126.856559928
2024-02-21,511126.856559928
2024-02-22,511126.856559928
2024-02-23,511126.856559928
2024-02-24,511126.856559928
2024-02-25,511126.856559928
2024-02-26,511126.856559928
2024-02-27,511126.856559928
2024-02-28,511126.856559928
2024-02-29,511126.856559928
2024-03-01,511126.856559928
2024-03-02,511126.856559928
2024-03-03,511126.856559928
2024-03-04,511126.856559928
2024-03-05,511126.856559928
2024-03-06,511126.856559928
2024-03-07,511126.856559928
2024-03-08,511126.856559928
2024-03-09,511126.856559928
2024-03-10,511126.856559928
2024-03-11,511126.856559928
2024-03-12,511126.856559928
2024-03-13,511126.856559928
2024-03-14,511126.856559928
2024-03-15,511126.856559928
2024-03-16,511126.856559928
2024-03-17,511126.856559928
2024-03-18,511126.856559928
2024-03-19,511126.856559928
2024-03-20,511126.856559928
2024-03-21,511126.856559928
2024-03-22,511126.856559928
2024-03-23,511126.856559928
2024-03-24,511126.856559928
2024-03-25,511126.856559928
2024-03-26,511126.856559928
2024-03-27,511126.856559928
2024-03-28,511126.856559928
2024-03-29,511126.856559928
2024-03-30,511126.856559928
2024-03-31,511126.856559928
2024-04-01,511126.856559928
2024-04-02,511126.856559928
2024-04-03,511126.856559928
2024-04-04,511126.856559928
2024-04-05,511126.856559928
2024-04-06,511126.856559928
2024-04-07,511126.856559928
2024-04-08,511126.856559928
2024-04-09,511126.856559928
2024-04-10,511126.856559928
2024-04-11,511126.856559928
2024-04-12,511126.856559928
2024-04-13,511126.856559928
2024-04-14,511126.856559928
2024-04-15,511126.856559928
2024-04-16,511126.856559928
2024-04-17,511126.856559928
2024-04-18,511126.856559928
2024-04-19,511126.856559928
2024-04-20,511126.856559928
2024-04-21,511126.856559928
2024-04-22,511126.856559928
2024-04-23,511126.856559928
2024-04-24,511126.856559928
2024-04-25,511126.856559928
2024-04-26,511126.856559928
2024-04-27,511126.856559928
2024-04-28,511126.856559928
2024-04-29,511126.856559928
2024-04-30,511126.856559928
2024-05-01,511126.856559928
2024-05-02,511126.856559928
2024-05-03,511126.856559928
2024-05-04,511126.856559928
2024-05-05,511126.856559928
2024-05-06,511126.856559928
2024-05-07,511126.856559928
2024-05-08,511126.856559928
2024-05-09,511126.856559928
2024-05-10,511126.856559928
2024-05-11,511126.856559928
2024-05-12,511126.856559928
2024-05-13,511126.856559928
2024-05-14,511126.856559928
2024-05-15,511126.856559928
2024-05-16,511126.856559928
2024-05-17,511126.856559928
2024-05-18,511126.856559928
2024-05-19,511126.856559928
2024-05-20,511126.856559928
2024-05-21,511126.856559928
2024-05-22,508003.64980814175
2024-05-23,502399.1079168834
2024-05-24,500522.9038096676
2024-05-25,495536.7496560972
2024-05-26,491810.9847634216
2024-05-27,494312.29990203236
2024-05-28,489324.2672083559
2024-05-29,488689.11873464944
2024-05-30,488068.02288248745
2024-05-31,491185.6677148384
2024-06-01,486824.6167669464
2024-06-02,491194.9193978588
2024-06-03,494322.3227110919
2024-06-04,495569.47364561405
2024-06-05,486374.79822940135
2024-06-06,478380.08548805455
2024-06-07,482056.7523177425
2024-06-08,480794.3501269958
2024-06-09,473976.99098552496
2024-06-10,470257.0509777516
2024-06-11,470803.39390641096
2024-06-12,474454.79664277716
2024-06-13,471286.0398814834
2024-06-14,476897.7126922718
2024-06-15,476920.1437658056
2024-06-16,461524.03667478863
2024-06-17,465283.07895585225
2024-06-18,467155.1519614903
2024-06-19,463429.0077540396
2024-06-20,456634.37022839196
2024-06-21,455431.1666199388
2024-06-22,451715.6438383821
2024-06-23,444896.45482307556
2024-06-24,443041.4157194348
2024-06-25,439338.63183181296
2024-06-26,417614.3811092476
2024-06-27,415727.5030511914
2024-06-28,403353.9944796577
2024-06-29,407666.5513688739
2024-06-30,410238.9352197397
2024-07-01,410879.3360505607
2024-07-02,402207.8834422024
2024-07-03,409646.2704019598
2024-07-04,400401.32225560857
2024-07-05,394817.56213359704
2024-07-06,405390.43748920585
2024-07-07,407129.0271557945
2024-07-08,404014.1490830666
2024-07-09,404705.8977284551
2024-07-10,399031.0224596896
2024-07-11,374657.7035893905
2024-07-12,357601.17129478196
